3B6 - REBAJA PLUS No. 5 MEDELLIN SURAMERICANA - MEDELLIN;133434681;1500
ALIMENTOS Y BEBIDAS;15239850;2250
ASEO Y HOGAR;13297127;3000
CUIDADO PERSONAL;28361795;3750
OTC;35620931;4500
UNIDAD RX;80914978;5250
3H5 - REBAJA PLUS No. 8 MEDELLIN POLICLINICA - MEDELLIN;256550048;6000
ALIMENTOS Y BEBIDAS;19640570;6750
ASEO Y HOGAR;13246753;7500
CUIDADO PERSONAL;53216744;8250
OTC;58293467;9000
UNIDAD RX;152152514;9750
3M3 - REBAJA PLUS No. 9 MEDELLIN CIUDAD RIO CLINICA EL PRADO - MEDELLIN;48163231;10500
ALIMENTOS Y BEBIDAS;11397073;11250
ASEO Y HOGAR;13069444;12000
CUIDADO PERSONAL;16665288;12750
OTC;16380216;13500
UNIDAD RX;30651210;14250
159 - REBAJA No. 1 CAUCASIA LA INMACULADA - CAUCASIA;111288456;15000
ALIMENTOS Y BEBIDAS;13398580;15750
ASEO Y HOGAR;11086216;16500
CUIDADO PERSONAL;21436184;17250
OTC;32382326;18000
UNIDAD RX;72985150;18750
184 - REBAJA No. 2 CAUCASIA PLAZA DE MERCADO - CAUCASIA;168199785;19500
ALIMENTOS Y BEBIDAS;14265538;20250
ASEO Y HOGAR;11280176;21000
CUIDADO PERSONAL;29342381;21750
OTC;46111927;22500
UNIDAD RX;107199763;23250
1I7 - REBAJA No. 3 CAUCASIA LA TRONCAL - CAUCASIA;101486266;24000
ALIMENTOS Y BEBIDAS;15353309;24750
ASEO Y HOGAR;10934271;25500
CUIDADO PERSONAL;21004164;26250
OTC;31116882;27000
UNIDAD RX;63077640;27750
3A6 - REBAJA No. 1 BELLO PARQUE PRINCIPAL - BELLO;139831207;28500
ALIMENTOS Y BEBIDAS;13574539;29250
ASEO Y HOGAR;12047884;30000
CUIDADO PERSONAL;31499872;30750
OTC;34906703;31500
UNIDAD RX;87802209;32250
3A9 - REBAJA No. 1 GIRARDOTA PARQUE PRINCIPAL - GIRARDOTA;58141497;33000
ALIMENTOS Y BEBIDAS;12539333;33750
ASEO Y HOGAR;10515083;34500
CUIDADO PERSONAL;19016220;35250
OTC;21704724;36000
UNIDAD RX;34366137;36750
3B3 - REBAJA No. 1 MEDELLIN COLOMBIA - MEDELLIN;110161460;37500
ALIMENTOS Y BEBIDAS;13505202;38250
ASEO Y HOGAR;10872584;39000
CUIDADO PERSONAL;29571295;39750
OTC;35502121;40500
UNIDAD RX;60710258;41250
3B5 - REBAJA No. 3 MEDELLIN SAN ANTONIO - MEDELLIN;162382686;42000
ALIMENTOS Y BEBIDAS;16941027;42750
ASEO Y HOGAR;11460422;43500
CUIDADO PERSONAL;43888639;44250
OTC;45611919;45000
UNIDAD RX;84480679;45750
3B9 - REBAJA No. 7 MEDELLIN ESQUINA PLAYA CON SUCRE - MEDELLIN;142937090;46500
ALIMENTOS Y BEBIDAS;16018573;47250
ASEO Y HOGAR;11225438;48000
CUIDADO PERSONAL;35699184;48750
OTC;39317143;49500
UNIDAD RX;80676752;50250
3C1 - REBAJA No. 8 MEDELLIN PLAZUELA URIBE URIBE - MEDELLIN;79791507;51000
ALIMENTOS Y BEBIDAS;13843920;51750
ASEO Y HOGAR;10791066;52500
CUIDADO PERSONAL;25259496;53250
OTC;28999197;54000
UNIDAD RX;40897828;54750
3C2 - REBAJA No. 9 MEDELLIN SAN DIEGO - MEDELLIN;72647165;55500
ALIMENTOS Y BEBIDAS;13861662;56250
ASEO Y HOGAR;10652492;57000
CUIDADO PERSONAL;18912319;57750
OTC;21298016;58500
UNIDAD RX;47922676;59250
